epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3906.26,0.54667,0.31856,0.93698,0.98148,0.96967,0.98521,0.78997,0.63828,0.31051,0.85192,0.00174411,0.00174411,0.00174411
76,3958.07,0.556,0.32155,0.93938,0.97119,0.97866,0.98558,0.78986,0.64725,0.31678,0.84985,0.00172714,0.00172714,0.00172714
77,4010.06,0.55363,0.31784,0.94581,0.98188,0.97392,0.98537,0.79224,0.64303,0.3087,0.85626,0.00171017,0.00171017,0.00171017
78,4061.93,0.55391,0.32296,0.9476,0.9733,0.97375,0.98449,0.78602,0.64117,0.3104,0.85007,0.0016932,0.0016932,0.0016932
79,4113.8,0.55209,0.31827,0.93833,0.97686,0.97573,0.98393,0.7906,0.64387,0.30769,0.85475,0.00167623,0.00167623,0.00167623
80,4165.55,0.55284,0.31405,0.93955,0.98357,0.9733,0.98425,0.79515,0.629,0.31309,0.84232,0.00165926,0.00165926,0.00165926
81,4217.67,0.54819,0.31304,0.93607,0.97782,0.97085,0.98439,0.78928,0.63315,0.3099,0.84445,0.00164229,0.00164229,0.00164229
82,4269.38,0.55006,0.31174,0.94093,0.98335,0.97744,0.98537,0.79127,0.64057,0.30438,0.84632,0.00162531,0.00162531,0.00162531
83,4321.16,0.54452,0.31242,0.93948,0.98173,0.97605,0.98455,0.79121,0.64595,0.30837,0.85249,0.00160834,0.00160834,0.00160834
84,4372.91,0.55364,0.31663,0.93945,0.98507,0.96544,0.98412,0.7924,0.63123,0.302,0.84637,0.00159137,0.00159137,0.00159137
85,4425.03,0.54722,0.31035,0.93846,0.97112,0.98036,0.98343,0.78485,0.63903,0.31065,0.84772,0.0015744,0.0015744,0.0015744
86,4476.94,0.53903,0.30958,0.93483,0.98279,0.96948,0.98325,0.79334,0.63394,0.30769,0.85149,0.00155743,0.00155743,0.00155743
87,4528.54,0.54167,0.31122,0.94139,0.97353,0.97968,0.98468,0.78855,0.63425,0.31192,0.84599,0.00154046,0.00154046,0.00154046
